Inflation Adjusted Domestic Revenue,Domestic Revenue,International Revenue,Total Box Office Revenue,Domestic Video Revenue,Opening Weekend,Production Budget,Theater Number,Runtime,Domestic DVD Revenue,Domestic Bluray Revenue,Month,Year,Profit
185781023.0,134202565.0,19531235.0,153733800.0,32235491.0,41516170.0,25000000.0,2867.0,100.0,21354607.0,10880884.0,1.0,2014.0,128733800.0
2884649.0,2073582.0,281293.0,2354875.0,1885360.0,75962.0,35000000.0,99.0,83.0,1654556.0,230804.0,7.0,2013.0,76030660.0
59140035.0,42720965.0,44057592.0,86778557.0,15243976.0,16797385.0,40000000.0,3160.0,115.0,9630408.0,5613568.0,5.0,2014.0,46778557.0
57108148.0,45182190.0,105632.0,105632.0,6294208.5,13994177.5,35000000.0,3169.5,96.0,3001784.0,3663131.0,9.0,2015.0,76030660.0
35088201.0,25379975.0,31893074.0,57273049.0,6319139.0,387618.0,4000000.0,775.0,164.0,3794682.0,2524457.0,7.0,2014.0,53273049.0
99066394.0,71562550.0,39972331.0,111534881.0,12042774.0,29816675.0,9000000.0,2856.0,103.0,7275828.0,4766946.0,7.0,2014.0,102534881.0
175220492.0,126573960.0,330933816.0,457507776.0,34649819.0,43899340.0,40000000.0,3202.0,88.0,14663438.0,19986381.0,7.0,2014.0,417507776.0
42318966.0,30569935.0,2769933.0,33339868.0,6160960.0,13585915.0,30000000.0,2469.0,138.0,4549813.0,1611147.0,10.0,2018.0,3339868.0
20632629.0,14904384.0,62900000.0,77804384.0,3087544.0,6469857.0,35000000.0,2072.0,112.0,2825922.0,261622.0,8.0,2014.0,76030660.0
29378743.0,21222315.0,20601751.0,41824066.0,912170.0,8632820.0,5000000.0,2650.0,93.0,333202.0,578968.0,8.0,2014.0,36824066.0
36017136.0,26017685.0,36090902.0,62108587.0,10855006.0,12758780.0,28000000.0,2714.0,113.0,6700274.0,4154732.0,9.0,2014.0,34108587.0
70366409.0,50837305.0,61061436.0,111898741.0,17374422.0,17275239.0,60000000.0,3464.0,96.0,8969108.0,8405314.0,9.0,2014.0,51898741.0
77511400.0,55991880.0,164249843.0,220241723.0,18657410.0,23514615.0,70000000.0,2900.0,92.0,10506773.0,8150637.0,10.0,2014.0,150241723.0
57108148.0,45182190.0,1530776.0,1530776.0,6294208.5,13994177.5,35000000.0,3169.5,137.0,3001784.0,3663131.0,10.0,2018.0,76030660.0
119283188.0,86208010.0,70345582.0,156553592.0,13260323.0,36111775.0,40000000.0,3188.0,110.0,7995305.0,5265018.0,11.0,2014.0,116553592.0
157802594.0,115637895.0,47889929.0,163527824.0,20423443.0,30621445.0,65000000.0,3301.0,137.0,11300559.0,9122884.0,12.0,2014.0,98527824.0
10741118.0,8005980.0,11659024.0,19665004.0,3264709.0,3901815.0,70000000.0,2568.0,133.0,1785038.0,1479671.0,1.0,2015.0,-50334996.0
48307068.0,36006065.0,17395873.0,53401938.0,7518268.0,14910105.0,4000000.0,2615.0,90.0,5252215.0,2266053.0,10.0,2018.0,49401938.0
23781571.0,17725785.0,91149182.0,108874967.0,8589576.0,7217640.0,95000000.0,2875.0,102.0,4749016.0,3840560.0,2.0,2015.0,13874967.0
222936104.0,166167230.0,404627720.0,570794950.0,65561019.0,85171450.0,40000000.0,3655.0,125.0,29189730.0,36371289.0,2.0,2015.0,530794950.0
473607279.0,353007020.0,1157058375.0,1510065395.0,72363175.0,147187040.0,190000000.0,4022.0,137.0,32956655.0,39406520.0,10.0,2018.0,1320065395.0
57108148.0,45182190.0,102661.0,102661.0,6294208.5,13994177.5,35000000.0,3169.5,107.0,3001784.0,3663131.0,10.0,2018.0,76030660.0
43991806.0,32789645.0,31574553.0,64364198.0,4181655.0,15845115.0,1000000.0,2775.0,82.0,2772239.0,1409416.0,4.0,2015.0,63364198.0
34132539.0,25440971.0,12820328.0,38261299.0,11355425.0,237264.0,13000000.0,2004.0,110.0,5285359.0,6070066.0,4.0,2015.0,25261299.0
247258643.0,184296230.0,102918966.0,287215196.0,43202597.0,69216890.0,29000000.0,3660.0,115.0,23811992.0,19390605.0,5.0,2015.0,258215196.0
227693.0,164480.0,85918.0,250398.0,2312716.0,107544.0,35000000.0,105.0,121.0,1739007.0,573709.0,10.0,2018.0,76030660.0
876373751.0,653406625.0,1017657016.0,1671063641.0,150393175.0,208806270.0,215000000.0,4291.0,124.0,53570441.0,96822734.0,6.0,2015.0,1456063641.0
109311738.0,81476385.0,135737758.0,217214143.0,25280264.0,33507870.0,68000000.0,3448.0,115.0,13994413.0,11285851.0,6.0,2015.0,149214143.0
450851446.0,336045770.0,821225989.0,1157271759.0,125794028.0,115718405.0,74000000.0,4311.0,91.0,60289900.0,65504128.0,7.0,2015.0,1083271759.0
147878436.0,110225700.0,30911197.0,141136897.0,13903275.0,30097040.0,35000000.0,3171.0,122.0,8083887.0,5819388.0,7.0,2015.0,106136897.0
216268915.0,161197785.0,40985196.0,202182981.0,30440684.0,60200180.0,28000000.0,3142.0,146.0,14426413.0,16014271.0,8.0,2015.0,174182981.0
373105.0,186444.0,11529548.0,11715992.0,6294208.5,5517.0,35000000.0,131.0,107.0,3001784.0,3663131.0,12.0,2000.0,76030660.0
206187407.0,87178599.0,40811529.0,127990128.0,6294208.5,364244.0,35000000.0,63.0,44.0,3001784.0,3663131.0,3.0,1998.0,76030660.0
9649443.0,7192291.0,5739129.0,12931420.0,1770003.0,3520626.0,1000000.0,1543.0,103.0,1046223.0,723780.0,9.0,2015.0,11931420.0
23836402.0,17766658.0,17812349.0,35579007.0,3058558.0,521522.0,30000000.0,2493.0,121.0,1334544.0,1724014.0,10.0,2015.0,5579007.0
41711925.0,31090320.0,43876534.0,74966854.0,7621480.0,13143310.0,55000000.0,2991.0,118.0,3944840.0,3676640.0,10.0,2015.0,19966854.0
2930998.0,2184640.0,184297.0,2368937.0,456667.0,1375320.0,5000000.0,2417.0,118.0,167080.0,289587.0,10.0,2018.0,-2631063.0
722415.0,538460.0,3189286.0,3727746.0,533363.0,96250.0,20000000.0,142.0,122.0,454138.0,79225.0,11.0,2015.0,-16272254.0
47258450.0,15502112.0,8004125.0,23506237.0,6294208.5,4261154.0,25000000.0,1187.0,89.0,3001784.0,3663131.0,4.0,1986.0,-1493763.0
57279087.0,42725475.0,19062918.0,61788393.0,9981971.0,16293325.0,15000000.0,2919.0,98.0,4021664.0,5960307.0,12.0,2015.0,46788393.0
115488344.0,87044645.0,18986015.0,106030660.0,12024915.0,13922855.0,30000000.0,2978.0,117.0,7591875.0,4433040.0,12.0,2015.0,76030660.0
118804266.0,90862685.0,33964631.0,124827316.0,13023100.0,35243095.0,40000000.0,3192.0,102.0,7806754.0,5216346.0,1.0,2016.0,84827316.0
32869212.0,25138705.0,15226020.0,40364725.0,5959305.0,8800230.0,3500000.0,2204.0,90.0,2703892.0,3255413.0,2.0,2016.0,36864725.0
78045017.0,59689605.0,32406953.0,92096558.0,14111011.0,17861950.0,18000000.0,3179.0,94.0,8550531.0,5560480.0,3.0,2016.0,74096558.0
82474816.0,63077560.0,15574647.0,78652207.0,10151844.0,23586645.0,29000000.0,3495.0,99.0,5723171.0,4428673.0,4.0,2016.0,49652207.0
62764630.0,48003015.0,117146287.0,165149302.0,15389154.0,19445035.0,115000000.0,3802.0,113.0,5949467.0,9439687.0,10.0,2018.0,50149302.0
11523657.0,8813410.0,5552229.0,14365639.0,2013766.0,4869278.0,20000000.0,2895.0,94.0,828080.0,1185686.0,4.0,2016.0,-5634361.0
72358801.0,55340730.0,53416891.0,108757621.0,6269278.0,21760405.0,35000000.0,3416.0,92.0,2738887.0,3530391.0,5.0,2016.0,73757621.0
12416322.0,9496130.0,40990.0,9537120.0,2487007.0,4698715.0,20000000.0,2313.0,86.0,731775.0,1755232.0,10.0,2018.0,-10462880.0
61930800.0,47365290.0,391534534.0,438899824.0,17494890.0,24166110.0,160000000.0,3406.0,123.0,4964013.0,12530877.0,6.0,2016.0,278899824.0
