Title,Release Date,Inflation Adjusted Domestic Revenue,Domestic Revenue,International Revenue,Total Box Office Revenue,Domestic Video Revenue,Opening Weekend,Production Budget,Theater Number,MPAA Rating,Runtime,Genre,Franchise,Production Method,Video Release Date,Domestic DVD Revenue,Domestic Bluray Revenue,Month,Year,Season,Profit
Ride Along,2014-01-17,185781035.0,134202565.0,19531235.0,153733800.0,32235555.0,41516170.0,25000000.0,2867.0,PG,100.0,Comedy,Ride Along,Live Action,2014-04-15,21354671.0,10880884.0,1.0,2014.0,Winter,128733800.0
Endless Love,2014-02-14,32446343.0,23438250.0,11279923.0,34718173.0,5650051.0,13307125.0,20000000.0,2896.0,PG,105.0,Drama,,Live Action,2014-05-27,4314112.0,1335939.0,2.0,2014.0,Winter,14718173.0
A Million Ways to Die in The West,2014-05-30,59140035.0,42720965.0,44057592.0,86778557.0,15244102.0,16797385.0,40000000.0,3160.0,R,115.0,Western,,Live Action,2014-10-07,9630534.0,5613568.0,5.0,2014.0,Spring,46778557.0
The Anomaly,2015-09-25,,,105632.0,105632.0,,,,,Not Rated,96.0,Action,,Live Action,,,,9.0,2015.0,Fall,
Boyhood,2014-07-11,35086086.0,25379975.0,31893074.0,57273049.0,6319139.0,387618.0,4000000.0,775.0,R,164.0,Drama,,Live Action,2015-01-06,3794682.0,2524457.0,7.0,2014.0,Summer,53273049.0
The Purge: Anarchy,2014-07-18,99066394.0,71562550.0,39972331.0,111534881.0,12042774.0,29816675.0,9000000.0,2856.0,R,103.0,Thriller/Suspense,The Purge,Live Action,,7275828.0,4766946.0,7.0,2014.0,Summer,102534881.0
Lucy,2014-07-25,175220503.0,126573960.0,330933816.0,457507776.0,34650179.0,43899340.0,40000000.0,3202.0,R,88.0,Action,,Live Action,2015-01-20,14663798.0,19986381.0,7.0,2014.0,Summer,417507776.0
Step Up All In,2014-08-08,20632629.0,14904384.0,62900000.0,77804384.0,3087616.0,6469857.0,,2072.0,PG,112.0,Drama,Step Up,Live Action,2014-11-04,2825994.0,261622.0,8.0,2014.0,Summer,
"As Above, So Below",2014-08-29,29378754.0,21222315.0,20601751.0,41824066.0,912350.0,8632820.0,5000000.0,2650.0,R,93.0,Horror,,Live Action,,333382.0,578968.0,8.0,2014.0,Summer,36824066.0
A Walk Among the Tombstones,2014-09-19,36017136.0,26017685.0,36090902.0,62108587.0,10855132.0,12758780.0,28000000.0,2714.0,R,113.0,Action,,Live Action,2015-01-13,6700400.0,4154732.0,9.0,2014.0,Fall,34108587.0
The Boxtrolls,2014-09-26,70361489.0,50837305.0,61061436.0,111898741.0,17374638.0,17275239.0,60000000.0,3464.0,PG,96.0,Adventure,,Stop-Motion Animation,2015-01-20,8969324.0,8405314.0,9.0,2014.0,Fall,51898741.0
Dracula Untold,2014-10-10,77511400.0,55991880.0,164249843.0,220241723.0,18657610.0,23514615.0,70000000.0,2900.0,PG,92.0,Action,Dark Universe,Live Action,,10506973.0,8150637.0,10.0,2014.0,Fall,150241723.0
Northern Soul,2014-10-17,11921.0,8886.0,,,,6786.0,,10.0,R,102.0,Drama,,Live Action,,,,10.0,2014.0,Fall,
Ouija,2014-10-24,70401651.0,50856010.0,52444622.0,103300632.0,8102438.0,19875995.0,5000000.0,2899.0,PG,89.0,Horror,Ouija,Live Action,,6211107.0,1891331.0,10.0,2014.0,Fall,98300632.0
Dumb and Dumber To,2014-11-14,119425977.0,86208010.0,70345582.0,156553592.0,13260603.0,36111775.0,40000000.0,3188.0,PG,110.0,Comedy,Dumb and Dumber,Live Action,,7995585.0,5265018.0,11.0,2014.0,Fall,116553592.0
The Theory of Everything,2014-11-07,49148080.0,35893537.0,87434155.0,123327692.0,6080616.0,208763.0,15000000.0,1220.0,PG,123.0,Drama,,Live Action,2015-02-10,4177500.0,1903116.0,11.0,2014.0,Fall,108327692.0
Unbroken,2014-12-25,158165804.0,115637895.0,47889929.0,163527824.0,20423463.0,30621445.0,65000000.0,3301.0,PG,137.0,Drama,Unbroken,Live Action,2015-02-10,11300579.0,9122884.0,12.0,2014.0,Winter,98527824.0
Blackhat,2015-01-16,10741118.0,8005980.0,11659024.0,19665004.0,3264829.0,3901815.0,70000000.0,2568.0,R,133.0,Thriller/Suspense,,Live Action,2015-05-05,1785158.0,1479671.0,1.0,2015.0,Winter,-50334996.0
The Boy Next Door,2015-01-23,48307068.0,36006065.0,17395873.0,53401938.0,7518358.0,14910105.0,4000000.0,2615.0,R,90.0,Thriller/Suspense,,Live Action,2015-04-28,5252305.0,2266053.0,1.0,2015.0,Winter,49401938.0
Seventh Son,2015-02-06,23781571.0,17725785.0,91149182.0,108874967.0,8590056.0,7217640.0,95000000.0,2875.0,PG,102.0,Adventure,,Live Action,2015-05-12,4749496.0,3840560.0,2.0,2015.0,Winter,13874967.0
